name,position,team,passingYards,passingTouchdowns,interceptions,rushingYards,rushingTouchdowns,receptions,receivingYards,receivingTouchdowns,fumbles,image,score,rank,value,tier,scarcity,adp,bye,sacks,fantasyScore,drafted,injury,averageAdp,sleeperAdp,espnAdp,yahooAdp,nflAdp,ffCheatsheetAdp
Patrick Mahomes,QB,KC,3600.5,24.5,9.5,389.0,3.0,0.0,0.0,0.0,0.0,https://assets.actionnetwork.com/200x200/5e391bf99e2d4dc5a194e76aedfbdb03.png,279.92,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Sam Darnold,QB,SEA,3700.5,23.5,9.0,141.0,1.5,0.0,0.0,0.0,0.0,https://assets.actionnetwork.com/200x200/ac820adb0f8647b48e6283276ab696a1.png,247.12,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Trevor Lawrence,QB,JAC,3750.5,25.5,10.5,238.0,4.5,0.0,0.0,0.0,0.0,https://assets.actionnetwork.com/200x200/06ae27e9a4064f3bba3cf700477b4c67.png,281.82,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Tyler Shough,QB,NO,3600.5,20.5,9.5,190.0,1.5,0.0,0.0,0.0,0.0,https://assets.actionnetwork.com/200x200/9902e79b07b54c7fb664deb2edab5134.png,235.02,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Aaron Jones,RB,MIN,0.0,0.0,0.0,550.5,4.5,30.0,212.0,1.0,0.0,https://assets.actionnetwork.com/200x200/591d9c151b774998b05087ca5b84296f.png,139.25,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Ashton Jeanty,RB,LV,0.0,0.0,0.0,975.5,7.5,47.5,350.5,1.5,0.0,https://assets.actionnetwork.com/200x200/1c61f9d1d14c4d0eae4ca7298601c8c8.png,234.1,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Bhayshul Tuten,RB,JAC,0.0,0.0,0.0,700.5,5.5,23.5,181.0,1.0,0.0,https://assets.actionnetwork.com/200x200/7e996107b93e48589a7367ee783b9f6e.png,150.65,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Bijan Robinson,RB,ATL,0.0,0.0,0.0,1174.5,8.5,72.5,575.5,3.5,0.0,https://assets.actionnetwork.com/200x200/c64d432c7dca428ca3bdbdd1d9c9856b.png,319.5,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Blake Corum,RB,LA,0.0,0.0,0.0,674.5,5.5,22.5,163.0,0.5,0.0,https://assets.actionnetwork.com/200x200/c82118b208d74c49897c165874625490.png,142.25,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Breece Hall,RB,NYJ,0.0,0.0,0.0,900.5,5.5,42.0,325.5,1.5,0.0,https://assets.actionnetwork.com/200x200/fbd568d716fa439eb7c14c1991a2cdc2.png,206.6,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Bucky Irving,RB,TB,0.0,0.0,0.0,800.5,5.5,33.0,247.0,1.0,0.0,https://assets.actionnetwork.com/200x200/dd9edf5ca5554174a9982269232ede67.png,176.75,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Cam Skattebo,RB,NYG,0.0,0.0,0.0,824.5,6.5,36.0,275.5,1.0,0.0,https://assets.actionnetwork.com/200x200/330682aa6bfe4959867c24acfeffc525.png,191.0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Chase Brown,RB,CIN,0.0,0.0,0.0,825.5,5.5,47.5,354.0,1.5,0.0,https://assets.actionnetwork.com/200x200/9ba7e051c86742af85780bea4e540d41.png,207.45,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Christian McCaffrey,RB,SF,0.0,0.0,0.0,950.5,8.5,72.5,574.5,4.5,0.0,https://assets.actionnetwork.com/200x200/9bfffe652e4d4a39be9570267415af2b.png,303.0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Chuba Hubbard,RB,CAR,0.0,0.0,0.0,749.5,4.5,30.5,220.0,1.0,0.0,https://assets.actionnetwork.com/200x200/aa332c869e2141a3ad88e03e45300817.png,160.45,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
D'Andre Swift,RB,CHI,0.0,0.0,0.0,800.5,6.5,31.5,233.0,1.0,0.0,https://assets.actionnetwork.com/200x200/fe2736f94562489bb2356141694ee617.png,179.85,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
David Montgomery,RB,HOU,0.0,0.0,0.0,824.5,7.5,31.0,229.0,1.0,0.0,https://assets.actionnetwork.com/200x200/3a0e647335e44025a723386da91cbb7e.png,187.35,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
De'Von Achane,RB,MIA,0.0,0.0,0.0,1000.5,5.5,53.0,400.5,2.5,0.0,https://assets.actionnetwork.com/200x200/ecb7f302353e404f962e3f24c6e14eb1.png,241.1,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
