name,position,team,passingYards,passingTouchdowns,interceptions,rushingYards,rushingTouchdowns,receptions,receivingYards,receivingTouchdowns,fumbles,image,score,rank,value,tier,scarcity,adp,bye,sacks,fantasyScore,drafted,injury,averageAdp,sleeperAdp,espnAdp,yahooAdp,nflAdp,ffCheatsheetAdp
Jake Ferguson,TE,DAL,0.0,0.0,0.0,9.0,0.0,52.0,524.5,4.5,0.0,https://assets.actionnetwork.com/200x200/dfebff18b1a34d2f91458a08c10ec21e.png,132.35,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Jakobi Meyers,WR,JAC,0.0,0.0,0.0,12.0,0.0,60.0,700.5,5.5,0.0,https://assets.actionnetwork.com/200x200/e3454a82652e47c3b1c2f65eb065998c.png,164.25,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Jalen Coker,WR,CAR,0.0,0.0,0.0,0.0,0.0,47.0,600.5,4.5,0.0,https://assets.actionnetwork.com/200x200/81c233d9772d4f4992ad385b2d4b5a38.png,134.05,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Jameson Williams,WR,DET,0.0,0.0,0.0,23.0,0.0,66.5,900.5,5.5,0.0,https://assets.actionnetwork.com/200x200/b282094e798142bb948b1d1682ee06dd.png,191.85,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Jaxon Smith-Njigba,WR,SEA,0.0,0.0,0.0,7.0,0.0,105.0,1325.5,8.5,0.0,https://assets.actionnetwork.com/200x200/517459710b0a47cd8dd61932398b0a68.png,289.25,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Jayden Higgins,WR,HOU,0.0,0.0,0.0,0.0,0.0,45.0,575.5,3.5,0.0,https://static.sprtactn.co/teamlogos/nfl/100/hou.png,123.55,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Jayden Reed,WR,GB,0.0,0.0,0.0,98.0,0.5,51.5,649.5,4.5,0.0,https://assets.actionnetwork.com/200x200/281cae4050b743c1a6fd71781f94c00d.png,156.25,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Jaylen Waddle,WR,DEN,0.0,0.0,0.0,8.0,0.0,68.0,875.5,5.5,0.0,https://assets.actionnetwork.com/200x200/6a47121810ad4401adc32ad7ad669669.png,189.35,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Jerry Jeudy,WR,CLE,0.0,0.0,0.0,10.0,0.0,46.0,600.5,4.5,0.0,https://assets.actionnetwork.com/200x200/a64e07146b7e40e7960648937971fe97.png,134.05,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Jordan Addison,WR,MIN,0.0,0.0,0.0,14.0,0.0,51.0,650.5,4.5,0.0,https://assets.actionnetwork.com/200x200/19982904b25142af869de813cb2d7298.png,144.45,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Jordyn Tyson,WR,NO,0.0,0.0,0.0,20.0,0.0,59.0,775.5,4.5,0.0,https://assets.actionnetwork.com/200x200/fc89e4d1fcd64b99a8f30582127aa900.png,165.55,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Josh Downs,WR,IND,0.0,0.0,0.0,5.0,0.0,69.0,800.5,5.5,0.0,https://assets.actionnetwork.com/200x200/02a244eaea494a33ad929b4d1795bd65.png,182.55,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Justin Jefferson,WR,MIN,0.0,0.0,0.0,9.0,0.0,84.5,1150.5,7.5,0.0,https://assets.actionnetwork.com/200x200/fcc496ed8bea410b8513ae030d41f1a7.png,245.45,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Juwan Johnson,TE,NO,0.0,0.0,0.0,0.0,0.0,53.5,550.5,3.5,0.0,https://assets.actionnetwork.com/200x200/ea9de8b774ed4c74a5ad53ff0e04b107.png,129.55,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
KC Concepcion,WR,CLE,0.0,0.0,0.0,25.0,0.0,47.5,624.5,4.5,0.0,https://assets.actionnetwork.com/200x200/7c53ce4ef3a24e92b21f054620132e94.png,139.45,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Kenyon Sadiq,TE,NYJ,0.0,0.0,0.0,15.0,0.0,36.0,475.5,3.5,0.0,https://assets.actionnetwork.com/200x200/ce1862f1679540a7a981719d6b506cdb.png,106.05,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Khalil Shakir,WR,BUF,0.0,0.0,0.0,4.0,0.0,55.5,650.5,4.5,0.0,https://assets.actionnetwork.com/200x200/fc669ac24af54f59a0e83eae7142d9b2.png,147.95,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Kyle Pitts,TE,ATL,0.0,0.0,0.0,1.0,0.0,71.0,774.5,4.5,0.0,https://assets.actionnetwork.com/200x200/92b6e2e1ad96404e89edfb381a7b4112.png,175.55,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Ladd McConkey,WR,LAC,0.0,0.0,0.0,0.0,0.0,69.5,899.5,5.5,0.0,https://assets.actionnetwork.com/200x200/99f04d0ec53441548b2b87e4fd36d463.png,192.45,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Luther Burden,WR,CHI,0.0,0.0,0.0,31.0,0.0,64.0,825.5,4.5,0.0,https://assets.actionnetwork.com/200x200/9c6528c12c324242a82dbbd0ff80a6fd.png,176.65,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Makai Lemon,WR,PHI,0.0,0.0,0.0,14.0,0.0,49.5,650.5,3.5,0.0,https://assets.actionnetwork.com/200x200/d4588d6f2b51443892c12539f6cfb4c1.png,136.95,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Mark Andrews,TE,BAL,0.0,0.0,0.0,12.0,0.0,47.5,500.5,5.5,0.0,https://assets.actionnetwork.com/200x200/a6dd8012a7f840128628e84ba82e715e.png,131.75,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Marvin Harrison Jr.,WR,ARI,0.0,0.0,0.0,0.0,0.0,60.0,825.5,5.5,0.0,https://assets.actionnetwork.com/200x200/4f52fa9af14547d39fa9f57d1e457312.png,175.55,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Matthew Golden,WR,GB,0.0,0.0,0.0,70.0,0.5,53.0,650.5,4.5,0.0,https://assets.actionnetwork.com/200x200/cc04a6b651444da7ba41ca1b83519543.png,155.05,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Michael Pittman Jr.,WR,PIT,0.0,0.0,0.0,0.0,0.0,64.5,750.5,4.5,0.0,https://assets.actionnetwork.com/200x200/b9c92ef1b50d47688a507b920757e505.png,166.55,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Michael Wilson,WR,ARI,0.0,0.0,0.0,4.0,0.0,56.5,724.5,4.5,0.0,https://assets.actionnetwork.com/200x200/ef0b1b0412064b09832b413206cab453.png,156.35,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Mike Evans,WR,SF,0.0,0.0,0.0,0.0,0.0,59.5,800.5,6.5,0.0,https://assets.actionnetwork.com/200x200/d6c6a16bc5164ffab9c7960de4c2b6f3.png,178.55,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Nico Collins,WR,HOU,0.0,0.0,0.0,3.0,0.0,78.0,1074.5,6.5,0.0,https://assets.actionnetwork.com/200x200/b96086cf2f3c499d959edcd44616f891.png,224.75,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Omar Cooper,WR,NYJ,0.0,0.0,0.0,16.0,0.0,40.0,525.5,3.5,0.0,https://assets.actionnetwork.com/200x200/d46c760dffd54ea487047c7eb7e8885d.png,115.15,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Parker Washington,WR,JAC,0.0,0.0,0.0,10.0,0.0,63.5,750.5,4.5,0.0,https://assets.actionnetwork.com/200x200/e0bcbd721d8a45b58826c4cc1fe17e99.png,166.55,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Pat Freiermuth,TE,PIT,0.0,0.0,0.0,0.0,0.0,44.5,450.5,3.5,0.0,https://assets.actionnetwork.com/200x200/884102eb804042138a4d87b855a56366.png,110.55,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Puka Nacua,WR,LA,0.0,0.0,0.0,101.0,0.5,98.5,1325.5,8.5,0.0,https://assets.actionnetwork.com/200x200/e6c60d1ca9454c53a73db3ab154808fa.png,295.15,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Quentin Johnston,WR,LAC,0.0,0.0,0.0,4.0,0.0,50.5,649.5,5.5,0.0,https://assets.actionnetwork.com/200x200/ae6bb82d0df241b88b5aebdbcea4f91b.png,148.85,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Rashee Rice,WR,KC,0.0,0.0,0.0,10.0,0.0,80.5,975.5,7.5,0.0,https://assets.actionnetwork.com/200x200/b276f84dba744a8ba7ebeca407050e73.png,224.05,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Rashid Shaheed,WR,SEA,0.0,0.0,0.0,11.0,0.0,40.0,525.5,3.5,0.0,https://assets.actionnetwork.com/200x200/eb1ad461bab84b139d507cf78ae9c5df.png,114.65,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Rashod Bateman,WR,BAL,0.0,0.0,0.0,7.0,0.0,34.5,450.5,3.5,0.0,https://assets.actionnetwork.com/200x200/251dd89acee7486e96b636027986cb55.png,101.25,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Ricky Pearsall,WR,SF,0.0,0.0,0.0,25.0,0.0,51.5,675.5,4.5,0.0,https://assets.actionnetwork.com/200x200/d4177788567b4210919a75d31aad2500.png,148.55,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Rome Odunze,WR,CHI,0.0,0.0,0.0,14.0,0.0,53.0,799.5,6.5,0.0,https://assets.actionnetwork.com/200x200/25d9f07c14184fc9913488a3ef2e4e07.png,173.35,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Romeo Doubs,WR,NE,0.0,0.0,0.0,0.0,0.0,54.5,649.5,4.5,0.0,https://assets.actionnetwork.com/200x200/ca84a858f83a4923b17cf2b819ab4b7b.png,146.45,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Sam LaPorta,TE,DET,0.0,0.0,0.0,5.0,0.0,58.5,624.5,4.5,0.0,https://assets.actionnetwork.com/200x200/fb56328638c84809b2335ffffd95a8d3.png,148.45,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
T.J. Hockenson,TE,MIN,0.0,0.0,0.0,5.0,0.0,49.5,500.5,3.5,0.0,https://assets.actionnetwork.com/200x200/5f9f995d55754415ad4bd69e7458db17.png,121.05,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Tee Higgins,WR,CIN,0.0,0.0,0.0,0.0,0.0,64.5,874.5,7.5,0.0,https://assets.actionnetwork.com/200x200/301714cde5984c58b20a968081342576.png,196.95,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Terry McLaurin,WR,WAS,0.0,0.0,0.0,2.0,0.0,73.5,949.5,5.5,0.0,https://assets.actionnetwork.com/200x200/ded72d86f7894d8e89cd64afe5ba45dd.png,201.65,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Tetairoa McMillan,WR,CAR,0.0,0.0,0.0,0.0,0.0,69.0,949.5,6.5,0.0,https://assets.actionnetwork.com/200x200/db0c7adeb8484b4e993e2830068fbf04.png,202.95,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Travis Kelce,TE,KC,0.0,0.0,0.0,7.0,0.0,64.0,674.5,4.5,0.0,https://assets.actionnetwork.com/200x200/3301ed5cd74e48279dcbb65f039f762b.png,159.15,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Tre Tucker,WR,LV,0.0,0.0,0.0,46.0,0.5,44.0,575.5,3.5,0.0,https://assets.actionnetwork.com/200x200/7017edc8fd4a4541a9ecca7d8883825b.png,130.15,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Trey McBride,TE,ARI,0.0,0.0,0.0,1.0,0.0,90.0,1000.5,6.5,0.0,https://assets.actionnetwork.com/200x200/ad5252a020f04cf4bdcba8d7b489b697.png,229.15,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Tucker Kraft,TE,GB,0.0,0.0,0.0,15.0,0.0,55.5,649.5,4.5,0.0,https://assets.actionnetwork.com/200x200/2c93b9498374436b84552be9bea3b245.png,148.95,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Tyler Warren,TE,IND,0.0,0.0,0.0,13.0,-0.0,70.0,750.5,4.5,0.0,https://assets.actionnetwork.com/200x200/920a551cc7fb4e629bad4c57b2ed4cf8.png,173.35,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Wan'Dale Robinson,WR,TEN,0.0,0.0,0.0,14.0,0.0,61.5,700.5,4.5,0.0,https://assets.actionnetwork.com/200x200/5c3212a6ce9d45e0b812cdea800b1411.png,159.95,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Xavier Worthy,WR,KC,0.0,0.0,0.0,120.0,1.0,54.0,649.5,4.5,0.0,https://assets.actionnetwork.com/200x200/2183b701261742e081e8289550de532c.png,163.95,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Zay Flowers,WR,BAL,0.0,0.0,0.0,37.0,0.0,75.5,975.5,5.5,0.0,https://assets.actionnetwork.com/200x200/5dc2fafd6ca545c098f080746b50c8ec.png,209.75,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
