name,position,team,passingYards,passingTouchdowns,interceptions,rushingYards,rushingTouchdowns,receptions,receivingYards,receivingTouchdowns,fumbles,image,teamImage,fantraxPPR,sleeperPPR,espnPPR,yahooPPR,underdogHalfPPR,sleeperHalfPPR,fantraxStandard,sleeperStandard,consensusPPR,consensusHalfPPR,consensusStandard,score,rank,value,tier,scarcity,adp,bye,sacks,fantasyScore,drafted,injury
Jayden Daniels,QB,WAS,3250.5,21.5,4.5,550.5,4.5,0.0,0.0,0.0,0.0,https://assets.actionnetwork.com/200x200/a4955c0d0cdb4bad9314010068168463.png,https://assets.actionnetwork.com/698864_Commanders.png,64,62,52,53.0,68.0,63,0.0,59.0,58,66,59.0,289.07,0,0,0,,0,0,0,0,0,
Joe Burrow,QB,CIN,3999.5,32.5,6.5,84.0,1.0,0.0,0.0,0.0,0.0,https://assets.actionnetwork.com/200x200/ac325257a7a14418810d445d7a51694e.png,https://static.sprtactn.co/teamlogos/nfl/100/cin.png,56,54,60,46.0,69.0,57,0.0,55.0,55,63,55.0,291.38,0,0,0,,0,0,0,0,0,
Jordan Love,QB,GB,3525.5,24.5,8.5,136.0,1.5,0.0,0.0,0.0,0.0,https://assets.actionnetwork.com/200x200/dc52cb352f7e4bc3acc9e0b90f54db36.png,https://static.sprtactn.co/teamlogos/nfl/100/gb.png,115,141,159,125.0,114.0,141,0.0,126.0,133,128,126.0,244.62,0,0,0,,0,0,0,0,0,
Josh Allen,QB,BUF,3600.5,24.5,8.5,500.5,11.5,0.0,0.0,0.0,0.0,https://assets.actionnetwork.com/200x200/f5332efaa4c640e6bd445863e4f45373.png,https://static.sprtactn.co/teamlogos/nfl/100/buf.png,32,23,23,19.0,36.0,23,0.0,16.0,23,30,16.0,344.07,0,0,0,,0,0,0,0,0,
Justin Herbert,QB,LAC,3650.5,25.5,8.0,300.5,2.5,0.0,0.0,0.0,0.0,https://assets.actionnetwork.com/200x200/62a5b58826114e138a307e290f351427.png,https://static.sprtactn.co/teamlogos/nfl/100/sd.png,79,84,109,67.0,83.0,82,0.0,82.0,81,82,82.0,277.07,0,0,0,,0,0,0,0,0,
Kyler Murray,QB,MIN,3000.5,17.5,5.5,375.5,1.5,0.0,0.0,0.0,0.0,https://assets.actionnetwork.com/200x200/170e031e620c4d6dbb8f453458701462.png,https://static.sprtactn.co/teamlogos/nfl/100/min.png,110,155,150,110.0,113.0,151,0.0,161.0,130,132,161.0,225.57,0,0,0,,0,0,0,0,0,
Lamar Jackson,QB,BAL,3249.5,24.5,7.5,575.5,3.5,0.0,0.0,0.0,0.0,https://assets.actionnetwork.com/200x200/3b6a5896665848aa9ecf7686f5baac32.png,https://static.sprtactn.co/teamlogos/nfl/100/bal.png,50,33,40,35.0,55.0,37,0.0,26.0,38,46,26.0,291.53,0,0,0,,0,0,0,0,0,
Malik Willis,QB,MIA,2949.5,14.5,6.0,550.5,3.5,0.0,0.0,0.0,0.0,https://assets.actionnetwork.com/200x200/c1fd52e773a74fb98b6d98fff5338849.png,https://static.sprtactn.co/teamlogos/nfl/100/mia.png,128,168,167,124.0,136.0,175,0.0,150.0,147,155,150.0,240.03,0,0,0,,0,0,0,0,0,
Matthew Stafford,QB,LA,3950.5,30.5,10.0,36.0,1.0,0.0,0.0,0.0,0.0,https://assets.actionnetwork.com/200x200/407e29c2bc5f4f31ba03e5aeeaa94cf4.png,https://assets.actionnetwork.com/524632_rams.png,88,102,79,100.0,106.0,112,0.0,100.0,94,109,100.0,269.62,0,0,0,,0,0,0,0,0,
Patrick Mahomes,QB,KC,3600.5,24.5,10.0,199.0,2.0,0.0,0.0,0.0,0.0,https://assets.actionnetwork.com/200x200/5e391bf99e2d4dc5a194e76aedfbdb03.png,https://static.sprtactn.co/teamlogos/nfl/100/kc.png,96,104,106,96.0,96.0,107,0.0,114.0,100,101,114.0,253.92000000000002,0,0,0,,0,0,0,0,0,
